0.016402,10.183,0.93965,0.7803,0.16346
0.018411,9.9869,0.90397,0.81915,0.84129
0.014795,6.6036,0.91038,0.84467,1.1531
0.015941,8.9957,0.81347,0.79217,2.845
0.0060658,8.2583,0.85108,0.85333,1.4728
0.013241,2.7088,0.94472,0.81117,0.49317
0.009566,8.9252,0.87765,0.85789,1.0857
0.017596,6.9248,0.94621,0.80305,3.1078
0.018969,0.86287,0.77935,0.75371,0.65519
0.010603,1.1388,0.94672,0.8418,1.3319
0.018564,1.9607,0.75585,0.77532,0.69895
0.014631,11.528,0.84265,0.81381,1.1716
0.013947,0.98868,0.92688,0.86297,0.97033
0.018295,10.438,0.75158,0.83071,113.19
0.012492,10.865,0.75271,0.75753,18.704
0.018209,11.95,0.78729,0.77218,187.98
0.014489,11.011,0.76211,0.77033,20.694
0.014172,7.8069,0.78199,0.75081,30.005
0.012738,9.4689,0.75846,0.77354,26.281
0.0066145,11.467,0.75602,0.87273,70.202
