1,1,1,50.307
1,1,2,35.371
1,1,3,19.828
1,1,4,11.52
1,2,1,11.085
1,2,2,18.409
1,2,3,9.8159
1,2,4,11.289
1,3,1,30.682
1,3,2,24.152
1,3,3,19.369
1,3,4,21.574
1,4,1,27.555
1,4,2,48.275
1,4,3,46.878
1,4,4,54.579
1,5,1,50.14
1,5,2,50.374
1,5,3,49.513
1,5,4,48.576
2,1,1,880.38
2,1,2,618.99
2,1,3,346.99
2,1,4,201.61
2,2,1,193.98
2,2,2,322.15
2,2,3,171.78
2,2,4,197.56
2,3,1,536.93
2,3,2,422.67
2,3,3,338.95
2,3,4,377.54
2,4,1,482.21
2,4,2,844.8
2,4,3,820.37
2,4,4,955.14
2,5,1,877.45
2,5,2,881.54
2,5,3,866.47
2,5,4,850.09
3,1,1,0.097084
3,1,2,0.19298
3,1,3,0.26585
3,1,4,0.2696
3,2,1,0.31741
3,2,2,0.33407
3,2,3,0.44621
3,2,4,0.46545
3,3,1,0.26622
3,3,2,0.29308
3,3,3,0.31732
3,3,4,0.61897
3,4,1,0.25753
3,4,2,0.18811
3,4,3,0.17995
3,4,4,0.13807
3,5,1,0.15386
3,5,2,0.15034
3,5,3,0.19426
3,5,4,0.18645
4,1,1,0.22762
4,1,2,0.22928
4,1,3,0.1091
4,1,4,0.076975
4,2,1,0.090309
4,2,2,0.060408
4,2,3,0.081102
4,2,4,0.030842
4,3,1,0.11794
4,3,2,0.10265
4,3,3,0.088464
4,3,4,0.035305
4,4,1,0.094535
4,4,2,0.046601
4,4,3,0.050296
4,4,4,0.04055
4,5,1,0.03693
4,5,2,0.0048993
4,5,3,0.01522
4,5,4,0.046243
5,1,1,0.19033
5,1,2,0.15519
5,1,3,0.18452
5,1,4,0.14429
5,2,1,0.15497
5,2,2,0.2146
5,2,3,0.062084
5,2,4,0.10666
5,3,1,0.21824
5,3,2,0.18478
5,3,3,0.1706
5,3,4,0.030325
5,4,1,0.29674
5,4,2,0.4624
5,4,3,0.41521
5,4,4,0.54835
5,5,1,0.51632
5,5,2,0.56525
5,5,3,0.48637
5,5,4,0.45768
